1433B_HUMAN	NP_647539.1	UniRef50_P31946	P31946
1433B_HUMAN	NP_003395.1	UniRef50_P31946	P31946
1433E_HUMAN	NP_006752.1	UniRef50_P62258	P62258
1433F_HUMAN	NP_003396.1	UniRef50_Q04917	Q04917
1433G_HUMAN	NP_036611.2	UniRef50_P61981	P61981
1433S_HUMAN	NP_006133.1	UniRef50_P31947	P31947
1433T_HUMAN	NP_006817.1	UniRef50_P27348	P27348
1433Z_HUMAN	NP_001129172.1	UniRef50_P63104	P63104
1433Z_HUMAN	NP_001129173.1	UniRef50_P63104	P63104
1433Z_HUMAN	NP_001129174.1	UniRef50_P63104	P63104
1433Z_HUMAN	NP_003397.1	UniRef50_P63104	P63104
1433Z_HUMAN	NP_663723.1	UniRef50_P63104	P63104
1433Z_HUMAN	NP_001129171.1	UniRef50_P63104	P63104
1A1L1_HUMAN	NP_115981.1	UniRef50_Q96QU6	Q96QU6
1A1L1_HUMAN	NP_001120691.1	UniRef50_Q96QU6	Q96QU6
1A1L2_HUMAN	NP_001027025.2	UniRef50_Q4AC99	Q4AC99
2A5A_HUMAN	NP_006234.1	UniRef50_Q15172	Q15172
2A5A_HUMAN	NP_001186685.1	UniRef50_Q15172	Q15172
2A5B_HUMAN	NP_006235.1	UniRef50_Q15173	Q15173
2A5D_HUMAN	NP_006236.1	UniRef50_Q14738	Q14738
2A5D_HUMAN	NP_851307.1	UniRef50_Q14738	Q14738
2A5D_HUMAN	NP_851308.1	UniRef50_Q14738	Q14738
2A5D_HUMAN	NP_001257405.1	UniRef50_Q14738	Q14738
2A5E_HUMAN	NP_001269109.1	UniRef50_Q16537	Q16537
2A5E_HUMAN	NP_001269110.1	UniRef50_Q16537	Q16537
2A5E_HUMAN	NP_001269111.1	UniRef50_Q16537	Q16537
2A5E_HUMAN	NP_006237.1	UniRef50_Q16537	Q16537
2A5E_HUMAN	NP_001269108.1	UniRef50_Q16537	Q16537
2A5G_HUMAN	NP_001155198.1	UniRef50_Q13362	Q13362
2A5G_HUMAN	NP_002710.2	UniRef50_Q13362	Q13362
2A5G_HUMAN	NP_848701.1	UniRef50_Q13362	Q13362
2A5G_HUMAN	NP_848702.1	UniRef50_Q13362	Q13362
2A5G_HUMAN	NP_001155197.1	UniRef50_Q13362	Q13362
2AAA_HUMAN	NP_055040.2	UniRef50_P30153	P30153
